dataset,model_family,model,category,mae,rmse,mape,objective_value,stability_penalty
validation,naive,naive_ma_2,beleza_saude,70.5,84.97087736395335,10.444394052530948,,
validation,naive,naive_wma_3,beleza_saude,73.73333333333333,84.8845621352251,10.94689892270824,,
validation,naive,naive_ma_3,beleza_saude,85.1333333333333,94.97309560548652,12.74474070358047,,
validation,naive,naive_lag_2,beleza_saude,95.0,113.90083406191545,14.330404784615789,,
backtest,naive,naive_ma_2,beleza_saude,28.75,29.319362203158512,4.001960918180025,,
backtest,naive,naive_wma_3,beleza_saude,34.166666666666686,35.248719440885,4.653071725860859,,
backtest,naive,naive_ma_3,beleza_saude,25.166666666666686,33.31749623779608,3.3248372855127237,,
backtest,naive,naive_lag_2,beleza_saude,24.5,24.50510150968569,3.381161531109189,,
validation,naive,naive_ma_2,cama_mesa_banho,20.2,26.330590574463002,3.2415265787416674,,
validation,naive,naive_wma_3,cama_mesa_banho,35.83333333333333,38.46665222414517,5.860975506291207,,
validation,naive,naive_ma_3,cama_mesa_banho,42.4,47.510466683084104,6.965160143899819,,
validation,naive,naive_lag_2,cama_mesa_banho,52.6,60.77993089828254,8.753971277941561,,
backtest,naive,naive_ma_2,cama_mesa_banho,69.5,81.72667863066503,13.503765465303927,,
backtest,naive,naive_wma_3,cama_mesa_banho,65.25,80.75726661490664,12.73360827206981,,
backtest,naive,naive_ma_3,cama_mesa_banho,68.16666666666669,77.16684665205794,13.198374275297356,,
backtest,naive,naive_lag_2,cama_mesa_banho,91.0,91.13725912051558,17.2085350546889,,
validation,naive,naive_ma_2,esporte_lazer,91.4,94.75811310911588,19.495982772826487,,
validation,naive,naive_wma_3,esporte_lazer,94.33333333333333,99.05032390995329,20.17737018479314,,
validation,naive,naive_ma_3,esporte_lazer,105.4,112.82129428633785,22.668051866094846,,
validation,naive,naive_lag_2,esporte_lazer,115.8,127.36954109990347,24.923865580831624,,
backtest,naive,naive_ma_2,esporte_lazer,21.25,29.01077386075732,4.962829962829963,,
backtest,naive,naive_wma_3,esporte_lazer,20.333333333333314,21.67243512954748,4.8205548205548165,,
backtest,naive,naive_ma_3,esporte_lazer,29.166666666666657,30.288428300076717,7.033957033957032,,
backtest,naive,naive_lag_2,esporte_lazer,50.5,51.38579570270368,12.02986202986203,,
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,56.1387695056034,68.72957919096427
