dataset,model_family,model,category,mae,rmse,mape,base_mae,delta_mae_vs_baseline,improvement_pct_vs_baseline,positive_improvement,proxy_importance_share_pct
backtest,naive,naive_lag_2,beleza_saude,24.5,24.50510150968569,3.381161531109189,82.0,57.5,70.1219512195122,57.5,26.69245647969053
backtest,naive,naive_ma_3,beleza_saude,25.166666666666686,33.31749623779608,3.3248372855127237,82.0,56.833333333333314,69.30894308943087,56.833333333333314,26.38297872340425
backtest,naive,naive_ma_2,beleza_saude,28.75,29.319362203158512,4.001960918180025,82.0,53.25,64.9390243902439,53.25,24.719535783365576
backtest,naive,naive_wma_3,beleza_saude,34.166666666666686,35.248719440885,4.653071725860859,82.0,47.833333333333314,58.333333333333314,47.833333333333314,22.205029013539647
backtest,naive,naive_lag_1,beleza_saude,82.0,82.87339742040264,11.385083367469239,82.0,0.0,0.0,0.0,0.0
validation,naive,naive_lag_1,beleza_saude,46.0,60.76512157479815,6.558383320446107,46.0,0.0,0.0,0.0,0.0
validation,naive,naive_ma_2,beleza_saude,70.5,84.97087736395335,10.444394052530948,46.0,-24.5,-53.2608695652174,0.0,0.0
validation,naive,naive_wma_3,beleza_saude,73.73333333333333,84.8845621352251,10.94689892270824,46.0,-27.733333333333334,-60.28985507246377,0.0,0.0
validation,naive,naive_ma_3,beleza_saude,85.1333333333333,94.97309560548652,12.74474070358047,46.0,-39.1333333333333,-85.07246376811587,0.0,0.0
validation,naive,naive_lag_2,beleza_saude,95.0,113.90083406191545,14.330404784615789,46.0,-49.0,-106.5217391304348,0.0,0.0
backtest,naive,naive_wma_3,cama_mesa_banho,65.25,80.75726661490664,12.73360827206981,91.0,25.75,28.296703296703296,25.75,36.74197384066588
backtest,naive,naive_ma_3,cama_mesa_banho,68.16666666666669,77.16684665205794,13.198374275297356,91.0,22.833333333333314,25.09157509157507,22.833333333333314,32.58026159334124
backtest,naive,naive_ma_2,cama_mesa_banho,69.5,81.72667863066503,13.503765465303927,91.0,21.5,23.626373626373624,21.5,30.677764565992877
backtest,naive,naive_lag_1,cama_mesa_banho,91.0,102.88342918079665,17.61717769410077,91.0,0.0,0.0,0.0,0.0
backtest,naive,naive_lag_2,cama_mesa_banho,91.0,91.13725912051558,17.2085350546889,91.0,0.0,0.0,0.0,0.0
validation,naive,naive_ma_2,cama_mesa_banho,20.2,26.330590574463002,3.2415265787416674,51.4,31.2,60.70038910505836,31.2,55.94739988045427
validation,naive,naive_wma_3,cama_mesa_banho,35.83333333333333,38.46665222414517,5.860975506291207,51.4,15.56666666666667,30.285343709468233,15.56666666666667,27.913927077106997
validation,naive,naive_ma_3,cama_mesa_banho,42.4,47.510466683084104,6.965160143899819,51.4,9.0,17.509727626459146,9.0,16.138673042438732
validation,naive,naive_lag_1,cama_mesa_banho,51.4,60.35726965329032,8.482971622477505,51.4,0.0,0.0,0.0,0.0
validation,naive,naive_lag_2,cama_mesa_banho,52.6,60.77993089828254,8.753971277941561,51.4,-1.2000000000000028,-2.334630350194558,0.0,0.0
backtest,naive,naive_wma_3,esporte_lazer,20.333333333333314,21.67243512954748,4.8205548205548165,30.0,9.666666666666686,32.222222222222285,9.666666666666686,50.216450216450234
backtest,naive,naive_ma_2,esporte_lazer,21.25,29.01077386075732,4.962829962829963,30.0,8.75,29.166666666666668,8.75,45.45454545454539
backtest,naive,naive_ma_3,esporte_lazer,29.166666666666657,30.288428300076717,7.033957033957032,30.0,0.8333333333333428,2.777777777777809,0.8333333333333428,4.329004329004372
backtest,naive,naive_lag_1,esporte_lazer,30.0,31.04834939252005,7.2324072324072315,30.0,0.0,0.0,0.0,0.0
backtest,naive,naive_lag_2,esporte_lazer,50.5,51.38579570270368,12.02986202986203,30.0,-20.5,-68.33333333333333,0.0,0.0
validation,naive,naive_lag_1,esporte_lazer,70.6,79.0885579587844,14.712107120456416,70.6,0.0,0.0,0.0,0.0
validation,naive,naive_ma_2,esporte_lazer,91.4,94.75811310911588,19.495982772826487,70.6,-20.80000000000001,-29.461756373937696,0.0,0.0
validation,naive,naive_wma_3,esporte_lazer,94.33333333333333,99.05032390995329,20.17737018479314,70.6,-23.733333333333334,-33.61661945231351,0.0,0.0
validation,naive,naive_ma_3,esporte_lazer,105.4,112.82129428633785,22.668051866094846,70.6,-34.80000000000001,-49.2917847025496,0.0,0.0
validation,naive,naive_lag_2,esporte_lazer,115.8,127.36954109990347,24.923865580831624,70.6,-45.2,-64.02266288951843,0.0,0.0
