number,objective_value,datetime_start,datetime_complete,duration,params_d,params_p,params_q,user_attrs_mape,user_attrs_rmse,user_attrs_stability_penalty,user_attrs_valid_model,state,category,model_family
19,56.1387695056034,2026-06-13 01:37:30.775874,2026-06-13 01:37:31.116884,0 days 00:00:00.341010,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
21,56.1387695056034,2026-06-13 01:37:31.449542,2026-06-13 01:37:31.797338,0 days 00:00:00.347796,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
24,56.1387695056034,2026-06-13 01:37:32.475045,2026-06-13 01:37:32.824183,0 days 00:00:00.349138,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
25,56.1387695056034,2026-06-13 01:37:32.824213,2026-06-13 01:37:33.240891,0 days 00:00:00.416678,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
27,56.1387695056034,2026-06-13 01:37:33.468266,2026-06-13 01:37:33.832784,0 days 00:00:00.364518,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
17,56.1387695056034,2026-06-13 01:37:30.109780,2026-06-13 01:37:30.447763,0 days 00:00:00.337983,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
16,56.1387695056034,2026-06-13 01:37:29.766497,2026-06-13 01:37:30.109746,0 days 00:00:00.343249,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
15,56.1387695056034,2026-06-13 01:37:29.409513,2026-06-13 01:37:29.766469,0 days 00:00:00.356956,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
14,56.1387695056034,2026-06-13 01:37:29.083013,2026-06-13 01:37:29.409484,0 days 00:00:00.326471,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
13,56.1387695056034,2026-06-13 01:37:28.749019,2026-06-13 01:37:29.082902,0 days 00:00:00.333883,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
22,56.1387695056034,2026-06-13 01:37:31.797366,2026-06-13 01:37:32.139326,0 days 00:00:00.341960,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
23,56.1387695056034,2026-06-13 01:37:32.139379,2026-06-13 01:37:32.475015,0 days 00:00:00.335636,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
30,56.1387695056034,2026-06-13 01:37:34.390432,2026-06-13 01:37:34.766426,0 days 00:00:00.375994,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
31,56.1387695056034,2026-06-13 01:37:34.766455,2026-06-13 01:37:35.120775,0 days 00:00:00.354320,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
32,56.1387695056034,2026-06-13 01:37:35.120806,2026-06-13 01:37:35.470410,0 days 00:00:00.349604,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
33,56.1387695056034,2026-06-13 01:37:35.470438,2026-06-13 01:37:35.823545,0 days 00:00:00.353107,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
34,56.1387695056034,2026-06-13 01:37:35.823576,2026-06-13 01:37:36.207415,0 days 00:00:00.383839,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
4,56.1387695056034,2026-06-13 01:37:27.176317,2026-06-13 01:37:27.534531,0 days 00:00:00.358214,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
35,56.1387695056034,2026-06-13 01:37:36.207447,2026-06-13 01:37:36.562935,0 days 00:00:00.355488,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
36,56.1387695056034,2026-06-13 01:37:36.562962,2026-06-13 01:37:36.939939,0 days 00:00:00.376977,0,2,0,7.435675105894708,62.57185787176382,68.72957919096427,True,COMPLETE,beleza_saude,arima
12,65.81124238190117,2026-06-13 01:37:28.562252,2026-06-13 01:37:28.748989,0 days 00:00:00.186737,1,2,2,8.826173050877955,62.83365692228131,72.39300133401147,True,COMPLETE,beleza_saude,arima
10,65.81124238190117,2026-06-13 01:37:28.159757,2026-06-13 01:37:28.371356,0 days 00:00:00.211599,1,2,2,8.826173050877955,62.83365692228131,72.39300133401147,True,COMPLETE,beleza_saude,arima
11,65.81124238190117,2026-06-13 01:37:28.371388,2026-06-13 01:37:28.562225,0 days 00:00:00.190837,1,2,2,8.826173050877955,62.83365692228131,72.39300133401147,True,COMPLETE,beleza_saude,arima
3,66.7304575922019,2026-06-13 01:37:26.827481,2026-06-13 01:37:27.176286,0 days 00:00:00.348805,0,2,2,8.998165681069226,77.5676703697244,55.15836355365624,True,COMPLETE,beleza_saude,arima
0,70.15924182120123,2026-06-13 01:37:26.413493,2026-06-13 01:37:26.556194,0 days 00:00:00.142701,1,1,2,9.50465567827606,81.61342470032855,62.41771181805805,True,COMPLETE,beleza_saude,arima
26,73.990826417111,2026-06-13 01:37:33.240921,2026-06-13 01:37:33.468233,0 days 00:00:00.227312,0,1,0,9.981275245807602,92.06536918041547,91.10259533657798,True,COMPLETE,beleza_saude,arima
29,73.990826417111,2026-06-13 01:37:34.195199,2026-06-13 01:37:34.390403,0 days 00:00:00.195204,0,1,0,9.981275245807602,92.06536918041547,91.10259533657798,True,COMPLETE,beleza_saude,arima
1,73.990826417111,2026-06-13 01:37:26.556222,2026-06-13 01:37:26.757249,0 days 00:00:00.201027,0,1,0,9.981275245807602,92.06536918041547,91.10259533657798,True,COMPLETE,beleza_saude,arima
39,73.990826417111,2026-06-13 01:37:37.456688,2026-06-13 01:37:37.659955,0 days 00:00:00.203267,0,1,0,9.981275245807602,92.06536918041547,91.10259533657798,True,COMPLETE,beleza_saude,arima
18,81.57511064258826,2026-06-13 01:37:30.447805,2026-06-13 01:37:30.775839,0 days 00:00:00.328034,0,1,1,11.381653212146832,86.37658277057767,69.8470632706066,True,COMPLETE,beleza_saude,arima
6,81.57511064258826,2026-06-13 01:37:27.663669,2026-06-13 01:37:27.987935,0 days 00:00:00.324266,0,1,1,11.381653212146832,86.37658277057767,69.8470632706066,True,COMPLETE,beleza_saude,arima
37,81.57511064258826,2026-06-13 01:37:36.939968,2026-06-13 01:37:37.320494,0 days 00:00:00.380526,0,1,1,11.381653212146832,86.37658277057767,69.8470632706066,True,COMPLETE,beleza_saude,arima
28,87.75311790807675,2026-06-13 01:37:33.832813,2026-06-13 01:37:34.195166,0 days 00:00:00.362353,0,2,1,12.275393491905726,94.86126380264041,72.84915715823213,True,COMPLETE,beleza_saude,arima
20,87.75311790807675,2026-06-13 01:37:31.116913,2026-06-13 01:37:31.449514,0 days 00:00:00.332601,0,2,1,12.275393491905726,94.86126380264041,72.84915715823213,True,COMPLETE,beleza_saude,arima
2,91.35805958282829,2026-06-13 01:37:26.757277,2026-06-13 01:37:26.827452,0 days 00:00:00.070175,1,0,1,12.829765889331851,97.85355837164256,75.05844365804427,True,COMPLETE,beleza_saude,arima
9,96.61375356201737,2026-06-13 01:37:28.145016,2026-06-13 01:37:28.159734,0 days 00:00:00.014718,1,1,0,13.69544579684829,100.45734996733847,71.53926718075162,True,COMPLETE,beleza_saude,arima
8,96.61375356201737,2026-06-13 01:37:28.130128,2026-06-13 01:37:28.144992,0 days 00:00:00.014864,1,1,0,13.69544579684829,100.45734996733847,71.53926718075162,True,COMPLETE,beleza_saude,arima
38,245.51047587012403,2026-06-13 01:37:37.320538,2026-06-13 01:37:37.456657,0 days 00:00:00.136119,0,0,1,36.786045081662955,244.33465161479535,64.64027945862955,True,COMPLETE,beleza_saude,arima
7,245.51047587012403,2026-06-13 01:37:27.987968,2026-06-13 01:37:28.130093,0 days 00:00:00.142125,0,0,1,36.786045081662955,244.33465161479535,64.64027945862955,True,COMPLETE,beleza_saude,arima
5,245.51047587012403,2026-06-13 01:37:27.534559,2026-06-13 01:37:27.663640,0 days 00:00:00.129081,0,0,1,36.786045081662955,244.33465161479535,64.64027945862955,True,COMPLETE,beleza_saude,arima
