dataset,model,category,mape,rmse,mae
validation,naive_lag_1,agro_industria_e_comercio,42.3333,6.4031,5.4
backtest,naive_lag_1,agro_industria_e_comercio,73.6264,14.1421,14.0
validation,ARIMA,agro_industria_e_comercio,39.7454,9.3365,7.1908
backtest,ARIMA,agro_industria_e_comercio,59.4205,13.8513,12.564
validation,naive_lag_1,alimentos,21.4848,7.823,6.0
backtest,naive_lag_1,alimentos,50.7394,39.2046,39.0
validation,ARIMA,alimentos,64.3543,21.2015,20.7203
backtest,ARIMA,alimentos,52.0081,49.5358,44.6239
validation,naive_lag_1,alimentos_bebidas,29.4461,5.4222,4.2
backtest,naive_lag_1,alimentos_bebidas,24.1071,3.8079,3.5
validation,ARIMA,alimentos_bebidas,41.0352,5.9739,4.817
backtest,ARIMA,alimentos_bebidas,6.9258,1.2352,0.9845
validation,naive_lag_1,artes,48.4033,10.1489,8.6
backtest,naive_lag_1,artes,25.0,5.3852,5.0
validation,ARIMA,artes,85.0871,21.3836,18.8331
backtest,ARIMA,artes,69.6605,13.4736,13.3842
validation,naive_lag_1,artes_e_artesanato,50.0,0.6325,0.4
backtest,naive_lag_1,artes_e_artesanato,55.5556,7.1063,5.5
validation,ARIMA,artes_e_artesanato,99.9861,0.6324,0.4
backtest,ARIMA,artes_e_artesanato,89.1051,8.4809,8.4671
validation,naive_lag_1,artigos_de_festas,154.1667,3.1623,2.8
backtest,naive_lag_1,artigos_de_festas,42.8571,8.4853,6.0
validation,ARIMA,artigos_de_festas,51.8422,1.7221,1.4296
backtest,ARIMA,artigos_de_festas,40.9646,8.1066,5.7326
validation,naive_lag_1,artigos_de_natal,34.4118,4.626,3.8
backtest,naive_lag_1,artigos_de_natal,22.5,2.0,2.0
validation,ARIMA,artigos_de_natal,70.6417,5.7128,5.1569
backtest,ARIMA,artigos_de_natal,36.7192,3.5669,3.3879
validation,naive_lag_1,audio,37.2951,10.3344,8.4
backtest,naive_lag_1,audio,11.0119,2.5495,2.5
validation,ARIMA,audio,25.5168,9.2575,7.0417
backtest,ARIMA,audio,5.3556,1.2122,1.1816
validation,naive_lag_1,automotivo,9.8044,32.8603,29.0
backtest,naive_lag_1,automotivo,11.6855,42.2907,38.5
validation,ARIMA,automotivo,22.9175,73.0996,70.175
backtest,ARIMA,automotivo,16.2819,54.9793,54.6092
validation,naive_lag_1,bebes,11.6626,28.3267,22.0
backtest,naive_lag_1,bebes,1.4865,3.6056,3.0
validation,ARIMA,bebes,22.7662,54.7149,47.9643
backtest,ARIMA,bebes,5.1942,11.9076,10.4996
validation,naive_lag_1,bebidas,26.6311,7.8867,7.0
backtest,naive_lag_1,bebidas,60.4167,11.4018,11.0
validation,ARIMA,bebidas,107.9031,30.5626,29.3331
backtest,ARIMA,bebidas,68.0879,12.8944,12.297
validation,naive_lag_1,beleza_saude,6.4166,60.7635,45.4
backtest,naive_lag_1,beleza_saude,10.823,79.489,78.5
validation,ARIMA,beleza_saude,26.8298,186.1992,178.8989
backtest,ARIMA,beleza_saude,9.6608,77.5914,71.8897
validation,naive_lag_1,brinquedos,19.5625,44.3486,36.8
